Factor,Subject,Options,AvgMarksFail,StudentPercentFail,AvgMarksTop,StudentPercentTop,,
Read Magazine,Science,Once a month,24.95,0.0837,84.51,0.0559,,
Read Magazine,Science,Never,24.36,0.1955,85.3,0.1744,,
,,,,,,,,
Private tuition,Social,Yes,26.18,0.3,85.29,0.3217,,
Private tuition,Social,No,26.57,0.7,84.89,0.6783,,
,,,,,,,,
Private tuition,Maths,Yes,23.33,0.3177,87,0.4078,,
Private tuition,Maths,No,23.05,0.6823,86.87,0.5922,,
,,,,,,,,
Private tuition,Reading,Yes,21.6,0.3076,87.35,0.3779,,
Private tuition,Reading,No,21.57,0.6924,87.24,0.6221,,
,,,,,,,,
Private tuition,Science,Yes,24.87,0.3122,84.28,0.3068,,
Private tuition,Science,No,24.78,0.6878,85.25,0.6932,,
,,,,,,,,
Computer use,Social,Daily,24.67486793,0.1094,84.72,0.068,,
Computer use,Social,Once in a week,25.32290898,0.3551,84.14,0.2894,,
Computer use,Social,Once in month,24.58025427,0.066,85.71,0.0666,,
Computer use,Social,Never use,24.75298574,0.222,85.36,0.1433,,
Computer use,Social,No computer,24.61731887,0.2474,85.45,0.4327,,
,,,,,,,,
Computer use,Maths,Daily,22.84,0.1067,86.66,0.1051,,
Computer use,Maths,Once in a week,23.55,0.3996,87.14,0.2649,,
Computer use,Maths,Once in month,22.83,0.0603,84.87,0.0322,,
Computer use,Maths,Never use,22.81,0.2096,87.48,0.1317,,
Computer use,Maths,No computer,22.9,0.2238,86.88,0.466,,
,,,,,,,,
Computer use,Reading,Daily,21.45,0.1158,86.75,0.0708,,
Computer use,Reading,Once in a week,21.95,0.3242,87.39,0.4999,,
Computer use,Reading,Once in month,21.61,0.0616,87.39,0.0482,,
Computer use,Reading,Never use,21.59,0.2069,87.03,0.1613,,
Computer use,Reading,No computer,21.16,0.2915,87.4,0.2197,,
,,,,,,,,
Computer use,Science,Daily,24.52,0.1117,84.45,0.0872,,
Computer use,Science,Once in a week,25.4,0.3638,84.75,0.3725,,
Computer use,Science,Once in month,24.55,0.0631,84.22,0.0357,,
Computer use,Science,Never use,24.57,0.2127,85.48,0.148,,
Computer use,Science,No computer,24.36,0.2488,85.11,0.3567,,
,,,,,,,,
Help in household,Social,Every day,25.21,0.7192,85.07,0.8815,,
Help in household,Social,Once a week,25.38,0.078,84.18,0.0607,,
Help in household,Social,Once a month,25.04,0.0229,84.64,0.013,,
Help in household,Social,Never,23.4,0.1799,85.65,0.0448,,
,,,,,,,,
Help in household,Maths,Every day,23.29,0.7484,86.93,0.8456,,
Help in household,Maths,Once a week,23.45,0.0794,86.92,0.0554,,
Help in household,Maths,Once a month,23.5,0.0229,87.92,0.0133,,
Help in household,Maths,Never,22.13,0.1492,86.63,0.0856,,
,,,,,,,,
Help in household,Reading,Every day,21.73,0.7381,87.28,0.7828,,
Help in household,Reading,Once a week,22.16,0.0754,87.4,0.0978,,
Help in household,Reading,Once a month,21.73,0.0234,87.95,0.0244,,
Help in household,Reading,Never,20.61,0.1631,87.08,0.0951,,
,,,,,,,,
Help in household,Science,Every day,25.03,0.7433,84.91,0.8535,,
Help in household,Science,Once a week,25.26,0.077,84.55,0.0706,,
Help in household,Science,Once a month,25.04,0.022,86.38,0.0107,,
Help in household,Science,Never,23.47,0.1576,84.51,0.0652,,
,,,,,,,,
Father's edu,Social,Degree & above,25.39,0.027,84.95,0.0823,,
Father's edu,Social,Sr secondary,25.34,0.0635,85.35,0.0807,,
Father's edu,Social,Secondary,25.18,0.2416,85.59,0.2516,,
Father's edu,Social,Primary,24.93,0.3534,84.73,0.3106,,
Father's edu,Social,Illiterate,24.48,0.3144,84.81,0.2748,,
,,,,,,,,
Father's edu,Maths,Degree & above,24.18,0.032,87.52,0.0755,,
Father's edu,Maths,Sr secondary,23.74,0.0718,87.33,0.077,,
Father's edu,Maths,Secondary,23.47,0.2622,86.81,0.2702,,
Father's edu,Maths,Primary,23.11,0.3513,86.61,0.3486,,
Father's edu,Maths,Illiterate,22.55,0.2827,87.13,0.2287,,
,,,,,,,,
Father's edu,Reading,Degree & above,22.67,0.0214,88.47,0.1295,,
Father's edu,Reading,Sr secondary,22.24,0.054,87.32,0.1339,,
Father's edu,Reading,Secondary,21.79,0.2332,87.03,0.3118,,
Father's edu,Reading,Primary,21.81,0.3498,87.23,0.3019,,
Father's edu,Reading,Illiterate,21.11,0.3416,86.77,0.1229,,
,,,,,,,,
Father's edu,Science,Degree & above,25.89,0.0258,84.64,0.1024,,
Father's edu,Science,Sr secondary,25.39,0.0686,84.59,0.0797,,
Father's edu,Science,Secondary,25.08,0.246,84.54,0.266,,
Father's edu,Science,Primary,24.84,0.347,85.45,0.3442,,
Father's edu,Science,Illiterate,24.27,0.3125,84.8,0.2077,,
,,,,,,,,
Mother's edu,Social,Degree & above,25.91,0.0145,84.03,0.0283,,
Mother's edu,Social,Sr secondary,25.71,0.0371,85.21,0.045,,
Mother's edu,Social,Secondary,25.16,0.1885,85.84,0.1617,,
Mother's edu,Social,Primary,25.05,0.3175,85.07,0.265,,
Mother's edu,Social,Illiterate,24.61,0.4423,84.97,0.5,,
,,,,,,,,
Mother's edu,Maths,Degree & above,24.39,0.0193,87.88,0.0298,,
Mother's edu,Maths,Sr secondary,24.03,0.0457,87.94,0.0547,,
Mother's edu,Maths,Secondary,23.64,0.219,87.34,0.2121,,
Mother's edu,Maths,Primary,23.12,0.3102,86.43,0.3215,,
Mother's edu,Maths,Illiterate,22.77,0.4058,86.71,0.3819,, 
,,,,,,,,
Mother's edu,Reading,Degree & above,22.63,0.0109,88.5,0.0848,,
Mother's edu,Reading,Sr secondary,22.02,0.0299,87.65,0.1112,,
Mother's edu,Reading,Secondary,22.02,0.1711,86.94,0.2906,,
Mother's edu,Reading,Primary,21.88,0.3051,87.24,0.2664,,
Mother's edu,Reading,Illiterate,21.28,0.483,87.1,0.2469,,
,,,,,,,,
Mother's edu,Science,Degree & above,25.93,0.0136,84.52,0.0633,,
Mother's edu,Science,Sr secondary,25.75,0.0378,84.47,0.0572,,
Mother's edu,Science,Secondary,25.12,0.1949,85.33,0.2169,,
Mother's edu,Science,Primary,25.07,0.3145,84.84,0.2741,,
Mother's edu,Science,Illiterate,24.39,0.4393,84.72,0.3886,,
,,,,,,,,
Help in Study,Social,Yes,24.99,0.7863,84.96,0.7779,,
Help in Study,Social,No,24.56,0.2137,85.24,0.2221,,
,,,,,,,,
Help in Study,Maths,Yes,23.18,0.7974,86.92,0.8049,,
Help in Study,Maths,No,22.95,0.2026,87.02,0.1951,,
,,,,,,,,
Help in Study,Reading,Yes,21.64,0.7698,87.29,0.8188,,
Help in Study,Reading,No,21.35,0.2302,87.28,0.1812,,
,,,,,,,,
Help in Study,Science,Yes,24.91,0.7854,84.75,0.7787,,
Help in Study,Science,No,24.43,0.2146,85.67,0.2213,,
,,,,,,,,
Use Dictionary,Social,Yes,25.16,0.5243,84.82,0.5644,,
Use Dictionary,Social,No,24.65,0.4757,85.22,0.4356,,
,,,,,,,,
Use Dictionary,Maths,Yes,23.46,0.5536,86.9,0.5783,,
Use Dictionary,Maths,No,22.78,0.4464,86.87,0.4217,,
,,,,,,,,
Use Dictionary,Reading,Yes,21.91,0.4875,87.41,0.7383,,
Use Dictionary,Reading,No,21.3,0.5125,86.92,0.2617,,
,,,,,,,,
Use Dictionary,Science,Yes,25.24,0.5216,84.83628959,0.61,,
Use Dictionary,Science,No,24.36,0.4784,85.11465035,0.39,,
